"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"SOLDER-JUMPER";1;"HV Test Enable";;;
2;"R16,R9,R11";"R-0207_2V";3;"470k";;;
3;"Q5";"TO-92_inline_2N7000";1;"2N7000";;;
4;"W8";"TESTPAD_P1-13";1;"VIN";;;
5;"C8,C6,C12,C14";"C025-024X044";4;"100nF";;;
6;"Q2";"TO-220-3_H";1;"IRF640";;;
7;"J2";"Header_MA08-1";1;"Conn_01x08";;;
8;"W7";"TESTPAD_P1-13";1;"400V";;;
9;"U3";"TO-220-3_H";1;"L7805";;;
10;"D1";"Diode_DO-41_SOD81_Vertical_AnodeUp";1;"UF4007";;;
11;"D2";"Diode_DO-41_SOD81_Vertical_AnodeUp";1;"1N5819";;;
12;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
13;"C13,C2,C1,C4,C3";"CP_Radial_D5.0mm_P2.50mm";5;"1uF 250V";;;
14;"D3,D4,D5,D6,D7";"Diode_DO-41_1N4001";5;"UF4007";;;
15;"W6";"TESTPAD_P1-13";1;"55V";;;
16;"U1";"optocoupler-DIL04";1;"EL817";;;
17;"L1";"Inductor-100mH";1;"100uH";;;
18;"Y1";"Crystal_DS10_d1.0mm_l4.3mm_Vertical";1;"Crystal";;;
19;"C11";"C025-024X044";1;"330pF";;;
20;"R2,R6,R7,R8,R10";"R-0207_2V";5;"10k";;;
21;"R3";"R-0207_2V";1;"1k";;;
22;"R4";"R-0207_2V";1;"390k";;;
23;"R5";"R-0207_2V";1;"2k7";;;
24;"Q1";"TO-92_inline_2N3906";1;"2N3906";;;
25;"R1";"R_2W";1;"0R18 2W";;;
26;"U5";"DS1307_DIL8";1;"DS1307+";;;
27;"U4";"MC34063_DIL8";1;"MC34063A";;;
28;"U2";"WeMos_D1_mini_board_flipped";1;"WeMos_mini";;;
29;"BT1";"CR1220-CoinCell";1;"Battery_Cell";;;
30;"W1";"TESTPAD_P1-13";1;"5V";;;
31;"W2,W3";"TESTPAD_P1-13";2;"GND";;;
32;"W4";"TESTPAD_P1-13";1;"140V";;;
33;"J3";"Header_MA02-1";1;"CONN_01X02";;;
34;"C10,C9,C7";"C_Radial_D6.3_L11.2_P2.5";3;"220uF";;;
35;"RV1";"Potentiometer_Trimmer_Bourns_3296X";1;"1k";;;
36;"J1";"Header_MA05-1";1;"Conn_01x05";;;
37;"Q3,Q4";"TO-92_inline_MPSA42";2;"MPSA42";;;
38;"R12";"R-0207_2V";1;"33k";;;
39;"R13,R14";"R-0207_2V";2;"47k";;;
40;"R15";"R-0207_2V";1;"220k";;;
41;"W5";"TESTPAD_P1-13";1;"110V";;;
